ID,SPA,MSLG
373,Él es un buen alumno.,ÉL BUENO ALUMNO Él
681,Necesito dinero para poder pagar la gasolina.,YO NECESITAR DINERO PAGAR GASOLINA
218,La caja pequeña es de color rojo.,CAJA PEQUEÑA SU COLOR ROJO
674,Le pusieron la corona de olivo.,CORONA-DE-OLIVO ELLOS PONER ÉL
711,La comida tiene mucha grasa.,COMIDA TENER MUCHO GRASA
516,Hay una tortuga en la playa.,PLAYA TORTUGA HABER
357,En la biblia está el nombre de Adán.,BIBLIA DENTRO ADÁN NOMBRE HABER
636,Yo pago con mi tarjeta de crédito.,MI TARJETA-DE-CRÉDITO YO PAGAR
387,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?
891,Él abandonó a su hijo.,SU HIJO ÉL ABANDONAR
377,Siempre que rezo digo amén.,YO SIEMPRE ORAR YO DECIR AMÉN
579,Mi compañero de trabajo insiste en hacer una fiesta.,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA
834,Ella tiene una cara bonita.,ELLA CARA BONITA
148,Él siempre está muy distraído.,SIEMPRE ÉL DISTRAÍDO
231,Esta servilleta está sucia.,ESTA SERVILLETA SUCIA
257,Los animales son muy bonitos en verdad.,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD
623,La semana pasada fui a Plaza Universidad.,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD"
87,Bosnia y Herzegovina es un país muy lejano.,BOSNIA-HERZEGOVINA ESE PAÍS LEJOS
499,Hoy mi celular ya tiene saldo.,HOY MÍ CELULAR YO YA TENER SALDO
900,Ella tiene cabello lacio.,ELLA TENER CABELLO-LACÍO
532,El año pasado terminé la universidad.,AÑO-PASADO UNIVERSIDAD YO TERMINAR
460,Estonia tiene una frontera con Rusia.,ESTONIA FRONTERA RUSIA
565,En el mercado venden muchas escobas baratas.,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER
920,Pablo es flojo.,dm-PABLO FLOJO
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ
107,Raúl entrena los sábados en CEPAMEX.,TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR
694,Él hace mucho ejercicio para fortalecerse.,ÉL EJERCER EJERCER FORTALECER
594,Mi mamá cocina en la olla express caldo de pollo sabroso.,MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO
436,La semana pasada compré cinta canela en el Centro.,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO
605,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS
397,La Constitución tiene muchos artículos.,CONSTITUCIÓN TENER MUCHOS ARTÍCULOS
727,Hungría es un país que está muy lejos.,HUNGRÍA ESE PAÍS LEJOS
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA
319,El escudo de la bandera de México es muy bonito.,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO
225,La próxima conferencia será en Monterrey.,PRÓXIMO CONFERENCIA LUGAR MONTERREY
233,María y Daniel van al teatro.,dm-MARÍA dm-DANIEL AMBOS IR TEATRO
689,Mi abuelo tiene un rifle viejo.,MI ABUELO TENER RIFLE VIEJO
762,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO
242,Ayer no me dijiste adiós.,AYER ADIÓS TÚ DECIR NADA
693,El cuaderno es feo.,CUADERNO FEO
744,La ley prohíbe robar.,LEY ROBAR PROHIBIR
55,A Mariana le gusta bailar.,dm-MARIANA BAILAR ELLA GUSTAR
381,Antier fui a un concierto de Magneto en el Palacio de los Deportes.,ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR
896,El payaso usa mucho maquillaje.,PAYASO MUCHO MAQUILLAJE
809,Ayer mi mamá preparó atole.,AYER MAMÁ PREPARAR ATOLE
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR
968,"Súbete a la montaña rusa, no seas cobarde.",MONTAÑA RUSA TÚ COBARDE NO
919,Estoy emocionado por ingresar a mi nuevo trabajo.,YO EMOCIONADO NUEVO INGRESAR TRABAJO
974,Miguel fue mi novio.,ANTES dm-MIGUEL NOVIO
28,Sara encontró muchas almejas en el mar.,dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR
963,"Mi perro es sumiso, no molesta.",MI PERRO SUMISO MOLESTAR
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR
378,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN
505,El perro tiene mucha sed.,PERRO MUCHO SED
101,Mi trabajo es muy cansado.,MI TRABAJO MUCHO CANSAR CANSAR
804,Tengo que acostumbrarme a despertarme a correr temprano.,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE
634,Caminemos hacia el sur para encontrar agua.,NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR
575,Nosotros abrimos el horno para meter los pasteles.,NOSOTROS ABRIR-HORNO PARA PASTEL
392,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA
493,El policía persigue a un joven.,POLICÍA PERSEGUIR JOVEN
732,José aprende la lengua de Italia.,dm-JOSÉ APRENDER IDIOMA ITALIA
650,¡Del susto se me escapó el alma!,¡YO ASUSTAR ALMA DESAPARECER!
604,El sábado pasado hubo un grave accidente en la carretera.,PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE
537,Mete en la bolsa las cosas que compraste en la tienda.,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER
506,Él y yo ya nos separamos.,DOS-DE-NOSOTROS YA SEPARAR
878,En Cuba hace mucho calor,CUBA CALOR
284,"Esa piedra está muy bonita, brilla mucho.",ESA PIEDRA BONITA BRILLO MUCHO
454,No quiero nada.,NADA YO NO-QUERER NADA
337,"Miguel quiere declarse a su amiga, pero no se atreve.",dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE
735,En Chapultepec hay un lago.,CHAPULTEPEC HABER LAGO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO
334,Mi novio y yo vemos películas con subtítulos.,PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER
31,Nosotros nos encontraremos mañana al amanecer.,MAÑANA AMANECER NOSOTROS ENCONTRAR
640,Tira la basura.,TÚ BASURA TIRAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR
145,"Si llego tarde al trabajo, me pueden despedir.",QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR
463,Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ
353,Mi amigo Julio tiene un acta de demanda.,MI AMIGO dm-JULIO TENER ACTA-DEMANDA
739,"Las lenguas más habladas son el chino, el inglés y el español.","LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA"
67,Los pavos son la comida básica en Navidad,PAVO COMIDA BASICA NAVIDAD
947,La noche está muy oscura.,NOCHE OSCURA
466,La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO
356,Tom Cruice es un actor muy famoso.,ACTOR dm-TOM CRUICE FAMOSO
489,Yo voy a la panadería.,PANADERÍA YO IR
969,En suburbano se viaja más rápido.,SUBURBANO VIAJAR VELOCIDAD
675,Tengo un partido en el Deportivo Galeana.,YO JUGAR PARTICIPAR DEPORTIVO-GALEANA
245,Mañana voy a viajar a África.,MAÑANA YO VIAJAR ÁFRICA
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ
927,El vecino me pidió mover mi carro.,VECINO Él PEDIR MI CARRO MOVER
368,A mí no me gusta el alcohol.,ALCOHOL YO NO-GUSTAR
768,Nos vemos mañana en la noche.,DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE
26,Todos en la iglesia gritan ¡aleluya!,TODOS IGLESIA GRITAR ¡ALELUYA!
687,La Ciudad de México es enorme.,CIUDAD-DE-MÉXICO ENORME
195,Mi amiga es modelo de una revista.,MI AMIGO+MUJER MODELO SU REVISTA
599,El deportista de rafting es joven.,JOVEN HOMBRE DEPORTE RAFTING
125,Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA
50,La construcción de la escuela ya está avanzada.,ESCUELA CONSTRUCCIÓN YA AVANZADA
65,El barco llegó en la mañana.,MAÑANA BARCO YA LLEGAR
235,José se enfermó de tos en invierno.,INVIERNO dm-JOSÉ TOS ENFERMAR
576,La semana pasada mi papá cortó la hierba con la hoz.,SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR
895,Ellos siempre discuten.,SIEMPRE ELLOS DISCUTIR
227,Ellos rebanaron la pizza en ocho partes.,PIZZA OCHO ELLOS REBANAR
796,Mi hermana no nació en Texas.,MI HERMANO+MUJER NO NACER TEXAS
275,"Yo conozco Bangladesh, es muy bonito de verdad.",YO CONOCER BANGLADESH YA BONITO VERDAD
769,"Ese vestido es feo, no me gusta.",ESE VESTIDO FEO YO NO-GUSTAR
788,Voy al banco a retirar dinero.,YO IR BANCO DINERO RETIRAR
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ
513,Ya suspendieron mi número de teléfono.,MI NÚMERO TELÉFONO SUSPENDER YA
3,¿Y eso?,¿Y-ESO?
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO
710,Nosotros aprendemos gramática en la escuela.,LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA
253,"Tú estás embarazada, después vas a amamantar.","TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR"
566,En diciembre muchas personas van a esquiar.,DICIEMBRE MUCHAS PERSONAS ESQUIAR IR
558,Tu esposo siempre me da el avión en todo.,SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN
331,Ese gato blanco rasguña.,ESE BLANCO GATO RASGUÑAR
597,El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES
512,Ayer compré un suéter.,AYER SUÉTER YO COMPRAR
614,Alguna persona que quiera donar sangre puede venir al hospital.,ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL
314,Él compró esa televisión de contado.,ÉL YA COMPRAR #TV CONTADO
86,Borré los contactos de mi teléfono.,TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR
944,Mi primo vive en Orizaba.,MI PRIMO ORIZABA VIVIR
880,Ayer entregué el enganche de mi auto.,AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO
588,"Usa maleta de ruedas mejor, no lastima el cuerpo.",MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER
573,Hoy fuí al zoológico y vi un gorila.,HOY YO IR ZOOLOGICO YO VER YA GORILA
435,El suegro de mi primo Samuel es ciego.,SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL
406,Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO
488,Compra pan bolillo.,PAN BOLILLO TÚ COMPRAR
801,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR
798,La vagina es un órgano femenino.,VAGINA ADENTRO CUERPO ORIGINAL MUJER
449,Yo no viajo contigo.,YO VIAJAR CONTIGO
122,"Yo acaricio a mi gato, él es muy tranquilo.",MI GATO ACARICIAR TRANQUILO
424,En la escuela cada niño tiene una computadora para trabajar.,CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR
6,No me abofetees.,NO ABOFETEAR MI
269,"Me asusto con las arañas, me dan miedo.",YO ASUSTAR ARAÑAS YO MIEDO
839,Mi mamá es católica.,MI MAMÁ CATÓLICA
610,Es necesario hacer ejercicio para estar sano.,NECESITAR EJERCICIO EJERCICIO PARA SALUD
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR
262,A mí no me gustan las arañas.,YO NO GUSTAR ARAÑA
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL
306,Te confundo a ti y a tu mamá porque se parecen.,YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS
688,El dueño de esa fábrica fue acusado de enriquecimiento ilícito.,HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO
134,Cristóbal Colón descubrió América hace años.,HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA
679,Ya descubrí su secreto.,SUYO SECRETO YO YA DESCUBRIRSE YA
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL
61,La bandera mexicana tiene tres colores.,BANDERA MEXICANA TENER TRES COLORES
80,Las personas sordas tienen derecho a una educación bilingüe.,PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE
490,Me gustan las papas.,YO GUSTAR PAPA
19,El doctor anota la cita en la agenda.,CITA DOCTOR ESCRIBIR ANOTAR-AGENDA
93,"¡Buenas noches, que descanses!",¡BUENA NOCHE TÚ DESCANSAR!
530,Ayer en el metro vi a un soldado con su ametralladora.,AYER METRO AMETRALLADORA SOLDADO YO VER
423,Me encanta comer cacahuates con limón y sal.,CACAHUATES CON LIMÓN SAL YO ENCANTA COMER
784,Quiero comer pollo.,POLLO YO QUERER COMER
765,"Cuídate mucho, nos vemos mañana.",TÚ CUIDAR MUCHO MAÑANA VERNOS
849,Enciende la chimenea.,CHIMENEA TÚ ENCENDERfuego
846,Charles-Michel de l’Épée es el “Padre de los Sordos”.,CHARLES-MICHEL-L´ÉPÉE PADRE SORDO
265,"Esa máquina falla mucho, se necesita que la compongan.",ESA MÁQUINA FALLA COMPONER NECESITA
630,Deseo que tengas mucha suerte.,TÚ SUERTE OJALÁ
7,Esa persona me abofeteó.,PERSONA ÉL ABOFETEAR MÍ
305,"Mi computadora no prende, estoy preocupado.",MI COMPUTADORA PRENDER NO YO PREOCUPADO
394,Todos los correos usan arroba.,TODO CORREO-ELECTRÓNICO USAR ARROBA
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA
69,El bebé de César es muy bonito.,dm-CÉSAR SU BEBÉ BONITO
538,Hoy compré en Wal-Mart una bomba de aire para mi papá.,HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR
561,Cuando me acabo de bañar siempre me pongo desodorante.,SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE
266,Ellos lo arrestaron.,YA ELLOS ARRESTAR ÉL
60,Rocío retiró dinero ayer en el banco.,AYER BANCO dm-ROCÍO DINERO RETIRAR
370,¿Crees que todos tenemos alma?,¿TÚ CREER TODOS ALMA TENER?
901,Mi tío se mudará de casa mañana.,MAÑANA MI TÍO MUDARSE CASA
367,Todos los días hacemos alabanzas a Dios.,"DIARIO ALABANZA DIOS, NOSOTROS HACER"
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR
359,Ellos fueron a la administración de la delegación.,ADMINISTRACIÓN DELEGACIÓN ELLOS IR
967,Yo no fui el que rompió el vidrio.,YO NO-FUI VIDRIO ROMPER ROMPER
230,La señora María tiene una cocina.,SEÑORA dm-MARÍA TENER COCINA
690,Yo creo en el Espíritu Santo.,YO CREER ESPÍRITU SANTO
113,Todos los productos se etiquetan con un código de barras.,TODO PRODUCTO CÓDIGO-DE-BARRAS ETIQUETA HABER
881,Enrique Peña Nieto fue gobernador del Estado de México.,HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO
403,Mi amiga se inscribió en una competencia de atletismo.,COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE
465,Fui a Cancún de ida y vuelta.,ANTES CANCÚN IDA-Y-VENIR
295,Me duele la espalda porque ayer cargué un mueble.,YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA
911,"No te preocupes, déjalo así.",TÚ NO PREOCUPAR DEJARLO-ASÍ
803,Mañana Juan y yo nos acompañaremos al trabajo.,MAÑANA TRABAJO dm-JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR
716,Me gusta el color gris.,COLOR GRIS YO GUSTAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO
885,Terminamos como amigos.,NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS
340,¡Ay! qué sorpresa verte aquí.,¡AY! SORPRESA AQUÍ YO VER TI
962,El campesino siembra maíz.,CAMPESINO MAÍZ SEMBRAR
84,El papá de David es bombero.,dm-DAVID SU PAPÁ BOMBERO
676,Mañana voy a depositar el dinero en el banco.,MAÑANA YO DINERO DEPOSITAR BANCO
400,Filipinas está en Asia.,FILIPINAS SUYO ASIA
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS
976,Mi hermano menor es dentista.,HERMANO ÚLTIMO DOCTOR-DIENTES
836,¿Quién fue el presidente de México? Carlos Salinas de Gortari.,ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI
304,¿Dónde está tu cómplice?,¿DÓNDE TUYO CÓMPLICE DÓNDE?
469,Islandia se encuentra en Europa.,ISLANDIA DÓNDE LUGAR EUROPA
62,La bandera se cayó durante la ceremonia.,BANDERA CAER MIENTRAS CEREMONIA
453,"Yo lo conozco bien, me consta.",YO CONOCER ÉL BIEN YA YO VER ÉL CONSTA
899,El jabón hace burbujas.,JABÓN BURBUJAS
875,Yo creo en la fe cristiana.,CRISTIANA YO CREER FE
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR
18,Vamos a jugar afuera.,NOSOTROS IR JUGAR AFUERA
206,Yo nado en la alberca.,ALBERCA YO NADAR
5,El perro está debajo de la mesa.,PERRO DEBAJO MESA
692,La línea 12 del metro tuvo un gran fallo estructural.,METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR
497,Hay muchos hombres mujeriegos.,HOMBRE MUJERIEGO MUCHO
519,"Ganamos el partido de futbol, ¡viva!",NOSOTROS FUTBOL JUGAR GANAR ¡VIVA!
131,El muchacho corteja a su novia.,JOVEN HOMBRE CORTEJA ELLA SU NOVIO+MUJER
888,¿Cuántos sordos hay en México?,¿CUÁNTOS MÉXICO-NACIONAL SORDOS HABER?
97,Mi hermano se cayó de la bicicleta.,MI HERMANO BICICLETA ÉL CAER
738,El legislador propuso una nueva ley de LSM.,LEGISLADOR YA PROPONER NUEVA LEY LSM
622,"Entrega el trámite en la ventanilla de gobierno, deben poner un sello.",VENTANA FILA GOBIERNO TRÁMITE ENTREGAR PAPEL DEBER PONER-SELLO
190,"María ganó la lotería, ahora es millonaria.",dm-MARÍA LOTERÍA GANAR AHORA MILLONARIA ELLA
862,Mañana me iré en combi a mi casa.,MAÑANA COMBI YO IR A MI CASA
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR
273,¿Dónde hay un balón?,¿DÓNDE BALÓN DÓNDE?
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO
260,Apenas te vi (hace poco).,"APENAS, YO VER TI"
557,Josefina y Alberto jugaron dados ayer.,"AYER dm-JOSEFINA, dm-ALBERTO AMBOS DADOS JUGAR"
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE
168,Frecuentemente voy al cine.,FRECUENTEMENTE YO IR CINE
282,"No veo bien, veo borroso.",YO VER BIEN YO BORROSO
906,En el refrigerador hay comida caducada.,REFRIGERADOR HABER COMIDA CADUCADA
853,El rumor sobre el director no era cierto.,DECIR CHISME DIRECTOR ESO NO CIERTO
297,Ella llora porque pica cebolla.,ELLA LLORAR PORQUE CEBOLLA PICAR
832,Mañana sólo cantaré una canción en la fiesta,UNA-VEZ MAÑANA FIESTA CANTAR
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA
617,La secretaria está capturando la carta.,SECRETARIA ELLA COMPUTADORA CARTA ARCHIVO
139,Mi amigo Rodolfo es muy dadivoso.,MI AMIGO dm-RODOLFO DADIVOSO
643,Noemí se hizo un ultrasonido para saber si su bebé era niño o niña.,dm-NOEMÍ YA ULTRASONIDO PARA SABER SUYO BEBE NIÑO NIÑO+MUJER
355,Nosotros tenemos muchas actividades en la escuela.,NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA
528,Algunas personas son voluntarias en la Cruz Roja.,ALGUIEN ÉL AYUDAR MÍ
37,El maestro se reunió aparte con sus alumnos.,MAESTRO ALUMNOS REUNIÓN APARTE
868,Ayer me dieron la constancia de la secundaria.,AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ
671,"Esa persona es astuta, ten cuidado.",ESA PERSONA COLMILLO TÚ CUIDAR
301,Me gusta coleccionar carros de juguete.,JUGUETE CARRO YO GUSTAR COLECCIONAR
